Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
./Instances/Pigeon_Color,active_BK_order,c5_p12_h15,OK,UNSATISFIABLE,0,138.861,138.83,0,138.83,138.856,0
./Instances/Pigeon_Color,active_BK_sat,c5_p12_h15,OK,UNSATISFIABLE,0,0.035,0.01,0,0.01,0.035,0
./Instances/Pigeon_Color,BASE,c5_p12_h15,OK,UNKNOWN,0+,900,899.94,0,0,899.979,0
./Instances/Pigeon_Color,SBASS,c5_p12_h15,OK,UNKNOWN,0+,900,899.94,0,0,899.98,1020019849
./Instances/Pigeon_Color,active_BK_enum,c5_p52_h56,OK,SATISFIABLE,1+,18.336,16.74,16.74,0,18.335,0
./Instances/Pigeon_Color,active_BK_full,c5_p52_h56,OK,SATISFIABLE,1+,11.704,10.19,10.19,0,11.703,0
./Instances/Pigeon_Color,active_BK_order,c5_p52_h56,OK,SATISFIABLE,1+,581.164,578.23,578.23,0,581.143,0
./Instances/Pigeon_Color,active_BK_sat,c5_p52_h56,OK,SATISFIABLE,1+,1.561,0.01,0.01,0,1.561,0
./Instances/Pigeon_Color,BASE,c5_p52_h56,OK,SATISFIABLE,1+,5.93,0.02,0.02,0,5.93,0
./Instances/Pigeon_Color,SBASS,c5_p52_h56,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/Pigeon_Hole,active_BK_enum,p100_h100,OK,SATISFIABLE,1,0.707,0,0,0,0.707,0
./Instances/Pigeon_Hole,active_BK_full,p100_h100,OK,SATISFIABLE,1,0.622,0,0,0,0.622,0
./Instances/Pigeon_Hole,active_BK_order,p100_h100,OK,SATISFIABLE,1,0.574,0,0,0,0.574,0
./Instances/Pigeon_Hole,active_BK_sat,p100_h100,OK,SATISFIABLE,1,0.627,0,0,0,0.627,0
./Instances/Pigeon_Hole,BASE,p100_h100,OK,SATISFIABLE,1+,1.047,0.02,0.02,0,1.047,0
./Instances/Pigeon_Hole,SBASS,p100_h100,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/Pigeon_Hole,active_BK_enum,p100_h99,OK,UNSATISFIABLE,0,0.635,0,0,0,0.635,0
./Instances/Pigeon_Hole,active_BK_full,p100_h99,OK,UNSATISFIABLE,0,0.715,0,0,0,0.715,0
./Instances/Pigeon_Hole,active_BK_order,p100_h99,OK,UNSATISFIABLE,0,0.64,0,0,0,0.64,0
./Instances/Pigeon_Hole,active_BK_sat,p100_h99,OK,UNSATISFIABLE,0,0.715,0,0,0,0.715,0
./Instances/Pigeon_Hole,BASE,p100_h99,OK,UNKNOWN,0+,900,898.85,0,0,899.981,0
./Instances/Pigeon_Hole,SBASS,p100_h99,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/Pigeon_Hole,active_BK_enum,p200_h199,OK,UNSATISFIABLE,0,5.602,0,0,0,5.602,0
./Instances/Pigeon_Hole,active_BK_full,p200_h199,OK,UNSATISFIABLE,0,5.656,0,0,0,5.656,0
./Instances/Pigeon_Hole,active_BK_order,p200_h199,OK,UNSATISFIABLE,0,5.192,0,0,0,5.192,0
./Instances/Pigeon_Hole,active_BK_sat,p200_h199,OK,UNSATISFIABLE,0,5.861,0,0,0,5.86,0
./Instances/Pigeon_Hole,BASE,p200_h199,OK,UNKNOWN,0+,900,889.43,0,0,899.982,0
./Instances/Pigeon_Hole,SBASS,p200_h199,Timeout,UNKNOWN,0+,900,0,0,0,0,900
./Instances/Pigeon_Hole,active_BK_enum,p200_h200,OK,SATISFIABLE,1,5.772,0,0,0,5.772,0
./Instances/Pigeon_Hole,active_BK_full,p200_h200,OK,SATISFIABLE,1,5.627,0,0,0,5.627,0
